lower_edge,code
-0.003226687,00100100000110010
-0.003209948,00100100000110100
-0.003147177,00100100000110110
-0.003117884,00100100000111000
-0.003071852,00100100000111010
-0.003038374,00100100000111100
-0.003004896,00100100000111110
-0.003000712,00100100001000000
-0.002988158,00100100001000010
-0.002900278,00100100001000100
-0.002820769,00100100001000110
-0.002711966,00100100001001000
-0.002615717,00100100001001010
-0.002598978,00100100001001100
-0.002498545,00100100001001110
-0.00242322,00100100001010000
-0.002310232,00100100001010010
-0.002172137,00100100001010100
-0.002163767,00100100001010110
-0.002159582,00100100001011000
-0.002096812,00100100001011010
-0.002084258,00100100001011100
-0.002046595,00100100001011110
0.001970738,00100100001100000
0.002129758,00100100001100010
0.002213452,00100100001100100
0.002272038,00100100001100110
0.002313886,00100100001101000
0.002318071,00100100001101010
0.002343179,00100100001101100
0.002355733,00100100001101110
0.002447797,00100100001110000
0.002464536,00100100001110010
0.002468721,00100100001110100
0.002535676,00100100001110110
0.002564969,00100100001111000
0.002590077,00100100001111010
0.002644479,00100100001111100
0.002657033,00100100001111110
0.002669587,00100100010000000
0.002795129,00100100010000010
0.003652997,00100100010000100
-0.006231318,001001000100001100
-0.0061267,001001000100001110
-0.006109961,001001000100010000
-0.006072299,001001000100010010
-0.00597605,001001000100010100
-0.005578501,001001000100010110
-0.005411112,001001000100011000
-0.005268832,001001000100011010
-0.005210245,001001000100011100
-0.005139105,001001000100011110
-0.004963347,001001000100100000
-0.00446955,001001000100100010
-0.004398409,001001000100100100
-0.004385855,001001000100100110
-0.004377486,001001000100101000
-0.004126402,001001000100101010
-0.004084555,001001000100101100
-0.004038523,001001000100101110
-0.004005045,001001000100110000
-0.00392972,001001000100110010
-0.003896242,001001000100110100
-0.003883688,001001000100110110
-0.003879504,001001000100111000
-0.003804179,001001000100111010
-0.003791624,001001000100111100
-0.00377907,001001000100111110
-0.003774886,001001000101000000
-0.003594942,001001000101000010
-0.003574019,001001000101000100
-0.003553095,001001000101000110
-0.003540541,001001000101001000
-0.003532172,001001000101001010
-0.003519617,001001000101001100
-0.003515433,001001000101001110
-0.003502879,001001000101010000
-0.003490324,001001000101010010
-0.003469401,001001000101010100
-0.003465216,001001000101010110
-0.003452662,001001000101011000
-0.003431738,001001000101011010
-0.003414999,001001000101011100
-0.003385706,001001000101011110
-0.003322935,001001000101100000
-0.003306197,001001000101100010
-0.003268534,001001000101100100
-0.003260165,001001000101100110
-0.00325598,001001000101101000
-0.003168101,001001000101101010
-0.003155546,001001000101101100
-0.003126254,001001000101101110
-0.003063483,001001000101110000
-0.003059298,001001000101110010
-0.003055113,001001000101110100
-0.003042559,001001000101110110
-0.003013266,001001000101111000
-0.002904463,001001000101111010
-0.002891909,001001000101111100
-0.002757998,001001000101111110
-0.002753813,001001000110000000
-0.002661749,001001000110000010
-0.002619902,001001000110000100
-0.002532023,001001000110000110
-0.002515284,001001000110001000
-0.002460883,001001000110001010
-0.002385558,001001000110001100
-0.002306048,001001000110001110
0.002205083,001001000110010000
0.002209268,001001000110010010
0.002217637,001001000110010100
0.002221822,001001000110010110
0.002347364,001001000110011000
0.00240595,001001000110011010
0.002410135,001001000110011100
0.002451982,001001000110011110
0.002506383,001001000110100000
0.002527307,001001000110100010
0.002539861,001001000110100100
0.002544045,001001000110100110
0.0025566,001001000110101000
0.002573339,001001000110101010
0.002581708,001001000110101100
0.002598447,001001000110101110
0.00262774,001001000110110000
0.002631925,001001000110110010
0.002682141,001001000110110100
0.002690511,001001000110110110
0.002694695,001001000110111000
0.00269888,001001000110111010
0.002719804,001001000110111100
0.002728173,001001000110111110
